epoch_no,time_run,batch_size_per_replica,optimizer
1,4.422328233718872,4,Adam
2,2.656167507171631,4,Adam
3,2.7022552490234375,4,Adam
4,2.631887197494507,4,Adam
5,2.626155138015747,4,Adam
6,2.636641502380371,4,Adam
7,2.641049861907959,4,Adam
8,2.6611454486846924,4,Adam
9,2.6262662410736084,4,Adam
10,2.622229814529419,4,Adam
Total_time,28.725329637527466,4,Adam
1,2.9391841888427734,8,Adam
2,2.3786535263061523,8,Adam
3,2.3725740909576416,8,Adam
4,2.371687650680542,8,Adam
5,2.3938422203063965,8,Adam
6,2.398258924484253,8,Adam
7,2.4070029258728027,8,Adam
8,2.357905864715576,8,Adam
9,2.369528293609619,8,Adam
10,2.39508318901062,8,Adam
Total_time,24.862077474594116,8,Adam
1,3.0581157207489014,12,Adam
2,2.408435821533203,12,Adam
3,2.3858070373535156,12,Adam
4,2.383690595626831,12,Adam
5,2.384251594543457,12,Adam
6,2.3832485675811768,12,Adam
7,2.4478864669799805,12,Adam
8,2.4015278816223145,12,Adam
9,2.3967442512512207,12,Adam
10,2.3882944583892822,12,Adam
Total_time,25.143553018569946,12,Adam
1,2.9502320289611816,16,Adam
2,2.1674466133117676,16,Adam
3,2.148275136947632,16,Adam
4,2.1430153846740723,16,Adam
5,2.1417911052703857,16,Adam
6,2.1692190170288086,16,Adam
7,2.158208131790161,16,Adam
8,2.1592891216278076,16,Adam
9,2.2310822010040283,16,Adam
10,2.125946521759033,16,Adam
Total_time,22.889718294143677,16,Adam
1,3.298248767852783,20,Adam
2,2.405688524246216,20,Adam
3,2.353421926498413,20,Adam
4,2.371990203857422,20,Adam
5,2.356950521469116,20,Adam
6,2.3521299362182617,20,Adam
7,2.364178419113159,20,Adam
8,2.360497236251831,20,Adam
9,2.3735527992248535,20,Adam
10,2.3010172843933105,20,Adam
Total_time,25.016571521759033,20,Adam
1,3.093766927719116,24,Adam
2,2.334430694580078,24,Adam
3,2.3758795261383057,24,Adam
4,2.3356592655181885,24,Adam
5,2.323596477508545,24,Adam
6,2.304842948913574,24,Adam
7,2.3439078330993652,24,Adam
8,2.3117835521698,24,Adam
9,2.3113980293273926,24,Adam
10,2.2664051055908203,24,Adam
Total_time,24.47974729537964,24,Adam
1,3.0726640224456787,28,Adam
2,2.2258524894714355,28,Adam
3,2.2641940116882324,28,Adam
4,2.234779119491577,28,Adam
5,2.2729604244232178,28,Adam
6,2.2548415660858154,28,Adam
7,2.245736837387085,28,Adam
8,2.2610089778900146,28,Adam
9,2.2215158939361572,28,Adam
10,2.1670777797698975,28,Adam
Total_time,23.713311433792114,28,Adam
1,3.1252870559692383,32,Adam
2,2.220902442932129,32,Adam
3,2.1666297912597656,32,Adam
4,2.13724422454834,32,Adam
5,2.1756088733673096,32,Adam
6,2.1897597312927246,32,Adam
7,2.1548714637756348,32,Adam
8,2.163499593734741,32,Adam
9,2.143972158432007,32,Adam
10,2.085926055908203,32,Adam
Total_time,23.072811603546143,32,Adam
1,3.2077291011810303,36,Adam
2,2.3252053260803223,36,Adam
3,2.28076171875,36,Adam
4,2.2783565521240234,36,Adam
5,2.2988834381103516,36,Adam
6,2.324939012527466,36,Adam
7,2.3319551944732666,36,Adam
8,2.3160629272460938,36,Adam
9,2.259732723236084,36,Adam
10,2.237119674682617,36,Adam
Total_time,24.36176300048828,36,Adam
1,3.2629950046539307,40,Adam
2,2.2731361389160156,40,Adam
3,2.2650833129882812,40,Adam
4,2.2734146118164062,40,Adam
5,2.2585391998291016,40,Adam
6,2.25797438621521,40,Adam
7,2.259883165359497,40,Adam
8,2.258269786834717,40,Adam
9,2.188153028488159,40,Adam
10,2.17742919921875,40,Adam
Total_time,23.97856879234314,40,Adam
1,3.1654460430145264,44,Adam
2,2.2153100967407227,44,Adam
3,2.227637767791748,44,Adam
4,2.202425479888916,44,Adam
5,2.2696709632873535,44,Adam
6,2.2570371627807617,44,Adam
7,2.214998722076416,44,Adam
8,2.229008436203003,44,Adam
9,2.181097984313965,44,Adam
10,2.185131311416626,44,Adam
Total_time,23.637953758239746,44,Adam
1,3.2383852005004883,48,Adam
2,2.1920762062072754,48,Adam
3,2.2041430473327637,48,Adam
4,2.1702330112457275,48,Adam
5,2.135859727859497,48,Adam
6,2.140638828277588,48,Adam
7,2.169043779373169,48,Adam
8,2.1748697757720947,48,Adam
9,2.140843152999878,48,Adam
10,2.1356401443481445,48,Adam
Total_time,23.2028968334198,48,Adam
1,3.427624225616455,52,Adam
2,2.2708194255828857,52,Adam
3,2.2641916275024414,52,Adam
4,2.295050859451294,52,Adam
