epoch_no,time_run,batch_size_per_replica,optimizer
1,8.685413122,4,Adam
2,8.187124968,4,Adam
3,8.18186307,4,Adam
4,8.181502104,4,Adam
5,8.174915314,4,Adam
6,8.192525148,4,Adam
7,8.174023628,4,Adam
8,8.174905777,4,Adam
9,8.178174496,4,Adam
10,8.17647624,4,Adam
Total_time,82.4023788,4,Adam
1,6.361266375,8,Adam
2,5.51955533,8,Adam
3,5.519861937,8,Adam
4,5.523216724,8,Adam
5,5.515041828,8,Adam
6,5.51488328,8,Adam
7,5.507096052,8,Adam
8,5.502539158,8,Adam
9,5.50077939,8,Adam
10,5.495308161,8,Adam
Total_time,56.05591273,8,Adam
1,5.13636899,12,Adam
2,4.579730272,12,Adam
3,4.580209732,12,Adam
4,4.587922812,12,Adam
5,4.58043313,12,Adam
6,4.582033873,12,Adam
7,4.578923225,12,Adam
8,4.578932285,12,Adam
9,4.579716682,12,Adam
10,4.5782516,12,Adam
Total_time,46.38721704,12,Adam
1,4.356744289,16,Adam
2,3.823891878,16,Adam
3,3.821472883,16,Adam
4,3.816368341,16,Adam
5,3.8166852,16,Adam
6,3.816949844,16,Adam
7,3.817875147,16,Adam
8,3.816806555,16,Adam
9,3.811155319,16,Adam
10,3.802797318,16,Adam
Total_time,38.79952335,16,Adam
1,4.335169077,20,Adam
2,3.789710999,20,Adam
3,3.790162563,20,Adam
4,3.794718742,20,Adam
5,3.79826951,20,Adam
6,3.800668478,20,Adam
7,3.794715643,20,Adam
8,3.791650534,20,Adam
9,3.791223049,20,Adam
10,3.785298586,20,Adam
Total_time,38.56852579,20,Adam
1,4.06134963,24,Adam
2,3.51265192,24,Adam
3,3.510098457,24,Adam
4,3.510326147,24,Adam
5,3.506741285,24,Adam
6,3.506083727,24,Adam
7,3.510190487,24,Adam
8,3.504127026,24,Adam
9,3.503999233,24,Adam
10,3.493783951,24,Adam
Total_time,35.71779966,24,Adam
1,3.790599585,28,Adam
2,3.248743773,28,Adam
3,3.241499424,28,Adam
4,3.238489866,28,Adam
5,3.244002581,28,Adam
6,3.242012024,28,Adam
7,3.236095667,28,Adam
8,3.236897707,28,Adam
9,3.232748985,28,Adam
10,3.223531008,28,Adam
Total_time,33.03289294,28,Adam
1,3.522222757,32,Adam
2,3.032007217,32,Adam
3,3.028101206,32,Adam
4,3.02564168,32,Adam
5,3.027766705,32,Adam
6,3.021038532,32,Adam
7,3.0149858,32,Adam
8,3.013703823,32,Adam
9,3.010633945,32,Adam
10,3.006140947,32,Adam
Total_time,30.79862833,32,Adam
1,3.766153097,36,Adam
2,3.205687046,36,Adam
3,3.201796293,36,Adam
4,3.203447342,36,Adam
5,3.202756882,36,Adam
6,3.194386721,36,Adam
7,3.199445486,36,Adam
8,3.197509289,36,Adam
9,3.17903924,36,Adam
10,3.187022924,36,Adam
Total_time,32.63676548,36,Adam
1,3.597886324,40,Adam
2,3.061939716,40,Adam
3,3.058618784,40,Adam
4,3.05411458,40,Adam
5,3.048116446,40,Adam
6,3.048878908,40,Adam
7,3.050730228,40,Adam
8,3.050813437,40,Adam
9,3.040397882,40,Adam
10,3.039718866,40,Adam
Total_time,31.15206981,40,Adam
1,3.524974346,44,Adam
2,2.98825264,44,Adam
3,2.987701654,44,Adam
4,2.978136301,44,Adam
5,2.978005409,44,Adam
6,2.97334981,44,Adam
7,2.982262373,44,Adam
8,2.985128403,44,Adam
9,2.970489025,44,Adam
10,2.971641064,44,Adam
Total_time,30.44068503,44,Adam
1,3.775527239,48,Adam
2,2.876611471,48,Adam
3,2.875280142,48,Adam
4,2.864115477,48,Adam
5,2.866661787,48,Adam
6,2.866066933,48,Adam
7,2.864662647,48,Adam
8,2.86604166,48,Adam
9,2.853251934,48,Adam
10,2.853374481,48,Adam
Total_time,29.66225719,48,Adam
1,3.525529861,52,Adam
2,2.955589533,52,Adam
3,2.954712152,52,Adam
4,2.951602936,52,Adam
5,2.952737093,52,Adam
6,2.950640917,52,Adam
7,2.944340229,52,Adam
8,2.940788507,52,Adam
9,2.93355751,52,Adam
10,2.938395262,52,Adam
Total_time,30.07276177,52,Adam
1,3.429193258,56,Adam
2,2.872939587,56,Adam
3,2.87118721,56,Adam
4,2.867005825,56,Adam
5,2.866610527,56,Adam
6,2.864373446,56,Adam
7,2.861898184,56,Adam
8,2.857276678,56,Adam
9,2.843803406,56,Adam
10,2.846157789,56,Adam
Total_time,29.27915621,56,Adam
1,3.350974083,60,Adam
2,2.80024004,60,Adam
3,2.792377234,60,Adam
4,2.794351816,60,Adam
5,2.79332304,60,Adam
6,2.789967775,60,Adam
7,2.795764208,60,Adam
8,2.785779715,60,Adam
9,2.781040192,60,Adam
10,2.78344202,60,Adam
Total_time,28.56514859,60,Adam
1,3.221880674,64,Adam
2,2.692666292,64,Adam
3,2.69830966,64,Adam
4,2.690732479,64,Adam
5,2.694831371,64,Adam
6,2.688538313,64,Adam
7,2.683947563,64,Adam
8,2.665229082,64,Adam
9,2.677426577,64,Adam
10,2.676107883,64,Adam
Total_time,27.4867301,64,Adam
1,3.381968975,68,Adam
2,2.833465576,68,Adam
3,2.838993073,68,Adam
4,2.833408833,68,Adam
5,2.840556145,68,Adam
6,2.837988615,68,Adam
7,2.834514856,68,Adam
8,2.807830572,68,Adam
9,2.811575413,68,Adam
10,2.816644907,68,Adam
Total_time,28.93331838,68,Adam
1,3.335080385,72,Adam
2,2.766815662,72,Adam
3,2.759988546,72,Adam
4,2.765117168,72,Adam
5,2.765265942,72,Adam
6,2.758912325,72,Adam
7,2.748541355,72,Adam
8,2.745716572,72,Adam
9,2.738409042,72,Adam
10,2.741363049,72,Adam
Total_time,28.22312284,72,Adam
1,3.258169889,76,Adam
2,2.703696728,76,Adam
3,2.710798264,76,Adam
4,2.708100319,76,Adam
5,2.701988935,76,Adam
6,2.696156502,76,Adam
7,2.690506935,76,Adam
8,2.686635017,76,Adam
9,2.683405876,76,Adam
10,2.689035892,76,Adam
Total_time,27.62775207,76,Adam
1,3.207262278,80,Adam
2,2.646208286,80,Adam
3,2.640736341,80,Adam
4,2.641348362,80,Adam
5,2.644258022,80,Adam
6,2.640262127,80,Adam
7,2.634680033,80,Adam
8,2.63964653,80,Adam
9,2.612417698,80,Adam
10,2.616116047,80,Adam
Total_time,27.021878,80,Adam
1,3.287107229,84,Adam
2,2.727814436,84,Adam
3,2.722575903,84,Adam
4,2.725890398,84,Adam
5,2.724330902,84,Adam
6,2.71334362,84,Adam
7,2.708740473,84,Adam
8,2.69701457,84,Adam
9,2.699587822,84,Adam
10,2.697717667,84,Adam
Total_time,27.80436754,84,Adam
1,3.264791965,88,Adam
2,2.694680214,88,Adam
3,2.697130442,88,Adam
4,2.690383434,88,Adam
5,2.684875727,88,Adam
6,2.680914402,88,Adam
7,2.660909176,88,Adam
8,2.659284115,88,Adam
9,2.663281202,88,Adam
10,2.65417099,88,Adam
Total_time,27.45227814,88,Adam
1,3.783240318,92,Adam
2,2.675689697,92,Adam
3,2.697012663,92,Adam
4,2.690405607,92,Adam
5,2.686383486,92,Adam
6,2.690423012,92,Adam
7,2.664785862,92,Adam
8,2.658149242,92,Adam
9,2.659249783,92,Adam
10,2.657502174,92,Adam
Total_time,27.89040422,92,Adam
1,3.17336297,96,Adam
2,2.590521812,96,Adam
3,2.607498646,96,Adam
4,2.59920454,96,Adam
5,2.599829912,96,Adam
6,2.591545343,96,Adam
7,2.58403039,96,Adam
8,2.582678318,96,Adam
9,2.587265015,96,Adam
10,2.587857485,96,Adam
Total_time,26.52893996,96,Adam
1,3.268445015,100,Adam
2,2.704696178,100,Adam
3,2.705469608,100,Adam
4,2.699733973,100,Adam
5,2.698640347,100,Adam
6,2.687627792,100,Adam
7,2.677145481,100,Adam
8,2.678523302,100,Adam
9,2.676808357,100,Adam
10,2.68772769,100,Adam
Total_time,27.58628964,100,Adam
1,3.161622524,112,Adam
2,2.586156845,112,Adam
3,2.58637619,112,Adam
4,2.587198973,112,Adam
5,2.589143515,112,Adam
6,2.568314552,112,Adam
7,2.560947418,112,Adam
8,2.568276644,112,Adam
9,2.564649343,112,Adam
10,2.566007853,112,Adam
Total_time,26.43690157,112,Adam
