epoch_no,time_run,batch_size_per_replica,optimizer
1,8.705628633,4,Adam
2,8.149726868,4,Adam
3,8.148849964,4,Adam
4,8.149921894,4,Adam
5,8.139113665,4,Adam
6,8.136641502,4,Adam
7,8.13618803,4,Adam
8,8.148775101,4,Adam
9,8.134918451,4,Adam
10,8.137932539,4,Adam
Total_time,82.08443069,4,Adam
1,6.039214134,8,Adam
2,5.467838049,8,Adam
3,5.47052002,8,Adam
4,5.469739437,8,Adam
5,5.475493431,8,Adam
6,5.474206209,8,Adam
7,5.46304512,8,Adam
8,5.464621782,8,Adam
9,5.464749575,8,Adam
10,5.463095903,8,Adam
Total_time,55.34826779,8,Adam
1,5.118127823,12,Adam
2,4.512073278,12,Adam
3,4.519670725,12,Adam
4,4.518868208,12,Adam
5,4.51226306,12,Adam
6,4.507231474,12,Adam
7,4.518107891,12,Adam
8,4.528255224,12,Adam
9,4.509039879,12,Adam
10,4.500579596,12,Adam
Total_time,45.84411192,12,Adam
1,4.330197096,16,Adam
2,3.773378372,16,Adam
3,3.769504786,16,Adam
4,3.772010565,16,Adam
5,3.770847559,16,Adam
6,3.775661707,16,Adam
7,3.773982286,16,Adam
8,3.771501303,16,Adam
9,3.775730133,16,Adam
10,3.768200874,16,Adam
Total_time,38.37784457,16,Adam
1,4.403049231,20,Adam
2,3.760244131,20,Adam
3,3.75665307,20,Adam
4,3.761101246,20,Adam
5,3.763260126,20,Adam
6,3.76231122,20,Adam
7,3.759659529,20,Adam
8,3.758436203,20,Adam
9,3.773195744,20,Adam
10,3.777935982,20,Adam
Total_time,38.37502289,20,Adam
1,4.125860691,24,Adam
2,3.506783009,24,Adam
3,3.50864172,24,Adam
4,3.499634743,24,Adam
5,3.505252361,24,Adam
6,3.502232075,24,Adam
7,3.504945517,24,Adam
8,3.503575802,24,Adam
9,3.499856949,24,Adam
10,3.490263224,24,Adam
Total_time,35.74819112,24,Adam
1,3.857691765,28,Adam
2,3.229295254,28,Adam
3,3.226351738,28,Adam
4,3.224183798,28,Adam
5,3.224183559,28,Adam
6,3.220249891,28,Adam
7,3.21932745,28,Adam
8,3.223599195,28,Adam
9,3.215841293,28,Adam
10,3.206460953,28,Adam
Total_time,32.94667768,28,Adam
1,3.883942842,32,Adam
2,2.996468306,32,Adam
3,2.996199131,32,Adam
4,2.998237371,32,Adam
5,2.997912407,32,Adam
6,3.006917,32,Adam
7,3.000631809,32,Adam
8,2.993592739,32,Adam
9,2.984171867,32,Adam
10,2.979717731,32,Adam
Total_time,30.93493438,32,Adam
1,3.860918283,36,Adam
2,3.190431595,36,Adam
3,3.189167023,36,Adam
4,3.185766935,36,Adam
5,3.182686806,36,Adam
6,3.181538343,36,Adam
7,3.181082964,36,Adam
8,3.179648161,36,Adam
9,3.174796581,36,Adam
10,3.166897535,36,Adam
Total_time,32.51881146,36,Adam
1,3.699607134,40,Adam
2,3.035436153,40,Adam
3,3.032416582,40,Adam
4,3.036865234,40,Adam
5,3.033191919,40,Adam
6,3.028156996,40,Adam
7,3.035530567,40,Adam
8,3.0302248,40,Adam
9,3.021460533,40,Adam
10,3.016608715,40,Adam
Total_time,31.06669807,40,Adam
1,3.635734081,44,Adam
2,2.966726065,44,Adam
3,2.976650953,44,Adam
4,2.969026327,44,Adam
5,2.961045742,44,Adam
6,2.967144966,44,Adam
7,2.960988045,44,Adam
8,2.957731009,44,Adam
9,2.939433813,44,Adam
10,2.947184324,44,Adam
Total_time,30.38050652,44,Adam
1,3.533621311,48,Adam
2,2.875049829,48,Adam
3,2.857845306,48,Adam
4,2.845270157,48,Adam
5,2.848673344,48,Adam
6,2.845527172,48,Adam
7,2.848893404,48,Adam
8,2.84141326,48,Adam
9,2.83028245,48,Adam
10,2.831207991,48,Adam
Total_time,29.25830293,48,Adam
1,3.658994913,52,Adam
2,2.932129145,52,Adam
3,2.927080631,52,Adam
4,2.930344582,52,Adam
5,2.926239014,52,Adam
6,2.928811789,52,Adam
7,2.928525925,52,Adam
8,2.924683571,52,Adam
9,2.912679195,52,Adam
10,2.912359238,52,Adam
Total_time,30.08585596,52,Adam
1,3.562692642,56,Adam
2,2.852571726,56,Adam
3,2.847485781,56,Adam
4,2.840513945,56,Adam
5,2.841719627,56,Adam
6,2.839386463,56,Adam
7,2.841893435,56,Adam
8,2.834535122,56,Adam
9,2.827264071,56,Adam
10,2.836072683,56,Adam
Total_time,29.22950745,56,Adam
1,3.479823351,60,Adam
2,2.776884317,60,Adam
3,2.776956081,60,Adam
4,2.77118969,60,Adam
5,2.767210484,60,Adam
6,2.767330885,60,Adam
7,2.772650719,60,Adam
8,2.762339115,60,Adam
9,2.754148006,60,Adam
10,2.754942417,60,Adam
Total_time,28.48285794,60,Adam
1,3.322105885,64,Adam
2,2.675631046,64,Adam
3,2.680902004,64,Adam
4,2.682086706,64,Adam
5,2.671414137,64,Adam
6,2.671462774,64,Adam
7,2.676743984,64,Adam
8,2.664313793,64,Adam
9,2.658361435,64,Adam
10,2.664480686,64,Adam
Total_time,27.38984156,64,Adam
1,3.554679394,68,Adam
2,2.808044195,68,Adam
3,2.811412334,68,Adam
4,2.812015772,68,Adam
5,2.798542738,68,Adam
6,2.807235241,68,Adam
7,2.804304123,68,Adam
8,2.794416666,68,Adam
9,2.789488554,68,Adam
10,2.793947458,68,Adam
Total_time,28.87439108,68,Adam
1,3.823837996,72,Adam
2,2.746759415,72,Adam
3,2.745333195,72,Adam
4,2.742762804,72,Adam
5,2.746945858,72,Adam
6,2.739003897,72,Adam
7,2.7340343,72,Adam
8,2.728367567,72,Adam
9,2.721319199,72,Adam
10,2.724125624,72,Adam
Total_time,28.55382061,72,Adam
1,3.475572824,76,Adam
2,2.705349207,76,Adam
3,2.693158388,76,Adam
4,2.695431471,76,Adam
5,2.694960356,76,Adam
6,2.689536572,76,Adam
7,2.691019773,76,Adam
8,2.667491198,76,Adam
