epoch_no,time_run,batch_size_per_replica,optimizer
8,2.301100016,72,Adam
9,2.302226067,72,Adam
10,2.296797514,72,Adam
Total_time,24.50715613,72,Adam
1,3.166621923,76,Adam
2,2.315240145,76,Adam
3,2.316266775,76,Adam
4,2.321222782,76,Adam
5,2.326401711,76,Adam
6,2.310623884,76,Adam
7,2.30755806,76,Adam
8,2.278401613,76,Adam
9,2.274812698,76,Adam
10,2.273827314,76,Adam
Total_time,24.12058711,76,Adam
1,3.123044014,80,Adam
2,2.294906139,80,Adam
3,2.313402414,80,Adam
4,2.320030451,80,Adam
5,2.280966997,80,Adam
6,2.27472353,80,Adam
7,2.247054338,80,Adam
8,2.224858999,80,Adam
9,2.233817101,80,Adam
10,2.236088753,80,Adam
Total_time,23.84214997,80,Adam
1,3.275462866,84,Adam
2,2.437929153,84,Adam
3,2.392254829,84,Adam
4,2.368733644,84,Adam
5,2.364951849,84,Adam
6,2.358583212,84,Adam
7,2.343176842,84,Adam
8,2.343022585,84,Adam
9,2.351339102,84,Adam
10,2.335700035,84,Adam
Total_time,24.86491966,84,Adam
1,3.215969086,88,Adam
2,2.366671324,88,Adam
3,2.367648363,88,Adam
4,2.362627029,88,Adam
5,2.344602823,88,Adam
6,2.336259127,88,Adam
7,2.304361582,88,Adam
8,2.307417631,88,Adam
9,2.296610594,88,Adam
10,2.298843622,88,Adam
Total_time,24.49994183,88,Adam
1,3.235082865,92,Adam
2,2.317807674,92,Adam
3,2.302346706,92,Adam
4,2.311807871,92,Adam
5,2.310025454,92,Adam
6,2.325167179,92,Adam
7,2.258699656,92,Adam
8,2.252725363,92,Adam
9,2.257512569,92,Adam
10,2.261113644,92,Adam
Total_time,24.09370017,92,Adam
1,3.422702551,96,Adam
2,2.282330751,96,Adam
3,2.307008028,96,Adam
4,2.296849966,96,Adam
5,2.308307648,96,Adam
6,2.288992643,96,Adam
7,2.24872303,96,Adam
8,2.240727663,96,Adam
9,2.237232685,96,Adam
10,2.240386963,96,Adam
Total_time,24.16782355,96,Adam
1,3.283261061,100,Adam
2,2.351828098,100,Adam
3,2.382997751,100,Adam
4,2.381178617,100,Adam
5,2.376329899,100,Adam
6,2.349954367,100,Adam
7,2.308243513,100,Adam
8,2.309494734,100,Adam
9,2.309272528,100,Adam
10,2.311794758,100,Adam
Total_time,24.5855062,100,Adam
1,3.29015708,112,Adam
2,2.322205067,112,Adam
3,2.332945585,112,Adam
4,2.306997776,112,Adam
5,2.298614264,112,Adam
6,2.254621983,112,Adam
7,2.241763353,112,Adam
8,2.240997553,112,Adam
9,2.23939991,112,Adam
10,2.253302574,112,Adam
Total_time,24.07658696,112,Adam
