epoch_no,time_run,batch_size_per_replica,optimizer
1,4.386529446,4,Adam
2,3.943302155,4,Adam
3,3.93481636,4,Adam
4,3.938140154,4,Adam
5,3.932124615,4,Adam
6,3.930442095,4,Adam
7,3.938797474,4,Adam
8,3.934334993,4,Adam
9,3.931662083,4,Adam
10,3.922461987,4,Adam
Total_time,39.94011402,4,Adam
1,3.682868242,8,Adam
2,3.23446846,8,Adam
3,3.231578588,8,Adam
4,3.237820625,8,Adam
5,3.244330883,8,Adam
6,3.235524893,8,Adam
7,3.229635239,8,Adam
8,3.224630833,8,Adam
9,3.234127045,8,Adam
10,3.233777523,8,Adam
Total_time,32.9099412,8,Adam
1,3.467791796,12,Adam
2,2.973152637,12,Adam
3,2.968210697,12,Adam
4,2.956088305,12,Adam
5,2.954135895,12,Adam
6,2.949577332,12,Adam
7,2.950441599,12,Adam
8,2.956722975,12,Adam
9,2.95059967,12,Adam
10,2.941704035,12,Adam
Total_time,30.21401644,12,Adam
1,3.068966627,16,Adam
2,2.562802792,16,Adam
3,2.56201601,16,Adam
4,2.570778131,16,Adam
5,2.562682152,16,Adam
6,2.561537027,16,Adam
7,2.564980507,16,Adam
8,2.55845809,16,Adam
9,2.566527367,16,Adam
10,2.558333158,16,Adam
Total_time,26.28655267,16,Adam
1,3.330460548,20,Adam
2,2.778457403,20,Adam
3,2.777494431,20,Adam
4,2.783352613,20,Adam
5,2.791829586,20,Adam
6,2.804387808,20,Adam
7,2.774865866,20,Adam
8,2.769132376,20,Adam
9,2.773171425,20,Adam
10,2.773523808,20,Adam
Total_time,28.51169682,20,Adam
1,3.440758228,24,Adam
2,2.656272888,24,Adam
3,2.639140368,24,Adam
4,2.642468929,24,Adam
5,2.669818163,24,Adam
6,2.662367105,24,Adam
7,2.66524148,24,Adam
8,2.664639473,24,Adam
9,2.65139842,24,Adam
10,2.638092041,24,Adam
Total_time,27.48113966,24,Adam
1,3.078714848,28,Adam
2,2.490780592,28,Adam
3,2.498892307,28,Adam
4,2.515143156,28,Adam
5,2.523917437,28,Adam
6,2.520043135,28,Adam
7,2.506077051,28,Adam
8,2.512114525,28,Adam
9,2.499898911,28,Adam
10,2.475453377,28,Adam
Total_time,25.72486663,28,Adam
1,2.900196791,32,Adam
2,2.381219387,32,Adam
3,2.376653433,32,Adam
4,2.366159678,32,Adam
5,2.372998476,32,Adam
6,2.383064747,32,Adam
7,2.367418051,32,Adam
8,2.368659019,32,Adam
9,2.364627838,32,Adam
10,2.375904083,32,Adam
Total_time,24.4023447,32,Adam
1,3.145173788,36,Adam
2,2.568185329,36,Adam
3,2.562166214,36,Adam
4,2.557393789,36,Adam
5,2.562008142,36,Adam
6,2.553938627,36,Adam
7,2.544909954,36,Adam
8,2.5552001,36,Adam
9,2.547460794,36,Adam
10,2.536596537,36,Adam
Total_time,26.28262687,36,Adam
1,3.080327988,40,Adam
2,2.489859581,40,Adam
3,2.46818161,40,Adam
4,2.457619905,40,Adam
5,2.464155436,40,Adam
6,2.464570284,40,Adam
7,2.466896296,40,Adam
8,2.458010197,40,Adam
9,2.438226223,40,Adam
10,2.449518204,40,Adam
Total_time,25.34023714,40,Adam
1,3.003014326,44,Adam
2,2.429120541,44,Adam
3,2.413160563,44,Adam
4,2.394953728,44,Adam
5,2.392501354,44,Adam
6,2.38869381,44,Adam
7,2.383022547,44,Adam
8,2.410728455,44,Adam
9,2.385275364,44,Adam
10,2.373438358,44,Adam
Total_time,24.72163725,44,Adam
1,2.941592693,48,Adam
2,2.338454723,48,Adam
3,2.335113287,48,Adam
4,2.320843697,48,Adam
5,2.34268117,48,Adam
6,2.329246998,48,Adam
7,2.341438532,48,Adam
8,2.336488008,48,Adam
9,2.302593231,48,Adam
10,2.30920577,48,Adam
Total_time,24.04572773,48,Adam
1,3.090909958,52,Adam
2,2.465046644,52,Adam
3,2.452675343,52,Adam
4,2.473777533,52,Adam
5,2.468575478,52,Adam
6,2.474205732,52,Adam
7,2.466466188,52,Adam
8,2.462719202,52,Adam
9,2.435124159,52,Adam
10,2.443536758,52,Adam
Total_time,25.3874135,52,Adam
1,3.03582716,56,Adam
2,2.40496254,56,Adam
3,2.408192635,56,Adam
4,2.400150061,56,Adam
5,2.410066366,56,Adam
6,2.407897711,56,Adam
7,2.399996996,56,Adam
8,2.380898476,56,Adam
9,2.391663074,56,Adam
10,2.389147043,56,Adam
Total_time,24.78434396,56,Adam
1,3.275680542,60,Adam
2,2.365173101,60,Adam
3,2.373184919,60,Adam
4,2.35155654,60,Adam
5,2.347719431,60,Adam
6,2.347441435,60,Adam
7,2.344116449,60,Adam
8,2.335353374,60,Adam
9,2.322775602,60,Adam
10,2.324993134,60,Adam
Total_time,24.54153466,60,Adam
1,2.946074247,64,Adam
2,2.289607525,64,Adam
3,2.290737629,64,Adam
4,2.291163683,64,Adam
5,2.283371687,64,Adam
6,2.285277843,64,Adam
7,2.274574518,64,Adam
8,2.274048567,64,Adam
9,2.269853115,64,Adam
10,2.280637741,64,Adam
Total_time,23.5848825,64,Adam
1,3.09429431,68,Adam
2,2.443225622,68,Adam
3,2.439970016,68,Adam
4,2.407313824,68,Adam
5,2.405094862,68,Adam
6,2.400010109,68,Adam
7,2.402240992,68,Adam
8,2.371878862,68,Adam
9,2.368816614,68,Adam
10,2.387938738,68,Adam
Total_time,24.87269878,68,Adam
1,3.051662445,72,Adam
2,2.367732048,72,Adam
3,2.382048845,72,Adam
4,2.370126009,72,Adam
5,2.344909191,72,Adam
6,2.347677946,72,Adam
7,2.342069864,72,Adam
8,2.324220419,72,Adam
9,2.315830469,72,Adam
10,2.326015711,72,Adam
Total_time,24.32757664,72,Adam
1,3.030346155,76,Adam
2,2.360886812,76,Adam
3,2.353982449,76,Adam
4,2.359740973,76,Adam
5,2.328479767,76,Adam
6,2.324518442,76,Adam
7,2.333199024,76,Adam
8,2.309793711,76,Adam
9,2.302093267,76,Adam
10,2.3142066,76,Adam
Total_time,24.07367611,76,Adam
1,2.990220547,80,Adam
2,2.275580406,80,Adam
3,2.310144186,80,Adam
4,2.305114508,80,Adam
5,2.28949976,80,Adam
6,2.284602642,80,Adam
7,2.277558565,80,Adam
8,2.262636662,80,Adam
9,2.267417192,80,Adam
10,2.286383867,80,Adam
Total_time,23.7009325,80,Adam
1,3.107803583,84,Adam
2,2.378282309,84,Adam
3,2.398961544,84,Adam
4,2.412985086,84,Adam
5,2.373289108,84,Adam
6,2.366661787,84,Adam
7,2.342200994,84,Adam
8,2.351853609,84,Adam
9,2.351109028,84,Adam
10,2.342287779,84,Adam
Total_time,24.58173037,84,Adam
1,3.039032936,88,Adam
2,2.327684402,88,Adam
3,2.34686327,88,Adam
4,2.372407913,88,Adam
5,2.336099863,88,Adam
6,2.335469961,88,Adam
7,2.313680887,88,Adam
8,2.30582881,88,Adam
9,2.317225933,88,Adam
10,2.30975771,88,Adam
Total_time,24.16251874,88,Adam
1,3.031921387,92,Adam
2,2.304408073,92,Adam
3,2.30515933,92,Adam
4,2.308755875,92,Adam
5,2.296344995,92,Adam
6,2.293962717,92,Adam
7,2.281008959,92,Adam
8,2.269849062,92,Adam
9,2.286241531,92,Adam
10,2.264749765,92,Adam
Total_time,23.79452229,92,Adam
1,3.258997202,96,Adam
2,2.260792017,96,Adam
3,2.261828899,96,Adam
4,2.261859179,96,Adam
5,2.26596117,96,Adam
6,2.265346527,96,Adam
7,2.24924922,96,Adam
8,2.238834858,96,Adam
9,2.241527319,96,Adam
10,2.235503674,96,Adam
Total_time,23.68824482,96,Adam
1,3.135591984,100,Adam
2,2.346712589,100,Adam
3,2.34692359,100,Adam
4,2.35282445,100,Adam
5,2.348635674,100,Adam
6,2.3379848,100,Adam
7,2.3253901,100,Adam
8,2.324330568,100,Adam
9,2.320065737,100,Adam
10,2.328376293,100,Adam
Total_time,24.21353555,100,Adam
1,3.06000638,112,Adam
2,2.270792246,112,Adam
3,2.265153885,112,Adam
4,2.269434214,112,Adam
5,2.277386665,112,Adam
6,2.251522064,112,Adam
7,2.241995573,112,Adam
8,2.240120173,112,Adam
9,2.235158682,112,Adam
10,2.250351906,112,Adam
Total_time,23.51255012,112,Adam
