epoch_no,time_run,batch_size_per_replica,optimizer
1,8.893707514,4,Adam
2,8.322080374,4,Adam
3,8.31434226,4,Adam
4,8.508357525,4,Adam
5,8.294965267,4,Adam
6,8.300226212,4,Adam
7,8.29868412,4,Adam
8,8.304792643,4,Adam
9,8.314355612,4,Adam
10,8.315459013,4,Adam
Total_time,83.96716237,4,Adam
1,6.047603846,8,Adam
2,5.494402409,8,Adam
3,5.483731747,8,Adam
4,5.482215166,8,Adam
5,5.483433008,8,Adam
6,5.483198404,8,Adam
7,5.502593756,8,Adam
8,5.490541458,8,Adam
9,5.488719225,8,Adam
10,5.481385946,8,Adam
Total_time,55.53604102,8,Adam
1,5.202041864,12,Adam
2,4.591025352,12,Adam
3,4.59146452,12,Adam
4,4.58385253,12,Adam
5,4.593938589,12,Adam
6,4.590909958,12,Adam
7,4.58987999,12,Adam
8,4.588491917,12,Adam
9,4.588606834,12,Adam
10,4.5934093,12,Adam
Total_time,46.61541247,12,Adam
1,4.365363836,16,Adam
2,3.811916351,16,Adam
3,3.810598135,16,Adam
4,3.810955524,16,Adam
5,3.810328722,16,Adam
6,3.816416502,16,Adam
7,3.814230919,16,Adam
8,3.813270807,16,Adam
9,3.814095259,16,Adam
10,3.813703299,16,Adam
Total_time,38.77684116,16,Adam
1,4.410755157,20,Adam
2,3.819571972,20,Adam
3,3.820108414,20,Adam
4,3.814085007,20,Adam
5,3.811242342,20,Adam
6,3.80916214,20,Adam
7,3.806317329,20,Adam
8,3.801707506,20,Adam
9,3.803807974,20,Adam
10,3.804771423,20,Adam
Total_time,38.79856038,20,Adam
1,4.117350578,24,Adam
2,3.517398596,24,Adam
3,3.501853466,24,Adam
4,3.50637269,24,Adam
5,3.505540371,24,Adam
6,3.503523111,24,Adam
7,3.49881959,24,Adam
8,3.50240159,24,Adam
9,3.495140314,24,Adam
10,3.493114948,24,Adam
Total_time,35.74123287,24,Adam
1,3.844579935,28,Adam
2,3.259679794,28,Adam
3,3.254656792,28,Adam
4,3.249178171,28,Adam
5,3.258861542,28,Adam
6,3.269513369,28,Adam
7,3.270140886,28,Adam
8,3.264325857,28,Adam
9,3.247127771,28,Adam
10,3.260699511,28,Adam
Total_time,33.27730703,28,Adam
1,3.578667164,32,Adam
2,3.018730402,32,Adam
3,3.012620926,32,Adam
4,3.011701822,32,Adam
5,3.007576466,32,Adam
6,3.009380341,32,Adam
7,3.007278442,32,Adam
8,3.026983261,32,Adam
9,3.00931406,32,Adam
10,3.015929937,32,Adam
Total_time,30.7937603,32,Adam
1,3.8118999,36,Adam
2,3.225821257,36,Adam
3,3.225663185,36,Adam
4,3.221765041,36,Adam
5,3.231952906,36,Adam
6,3.209007978,36,Adam
7,3.214352131,36,Adam
8,3.205409527,36,Adam
9,3.203560352,36,Adam
10,3.215801477,36,Adam
Total_time,32.86226082,36,Adam
1,3.662344456,40,Adam
2,3.052800179,40,Adam
3,3.056657314,40,Adam
4,3.054637432,40,Adam
5,3.051535606,40,Adam
6,3.053183794,40,Adam
7,3.046177387,40,Adam
8,3.059635878,40,Adam
9,3.040404558,40,Adam
10,3.062036991,40,Adam
Total_time,31.23851705,40,Adam
1,3.588961124,44,Adam
2,2.985673666,44,Adam
3,2.982194662,44,Adam
4,2.979042292,44,Adam
5,2.97919178,44,Adam
6,2.976664543,44,Adam
7,2.976385593,44,Adam
8,2.981020689,44,Adam
9,2.97068572,44,Adam
10,2.979573488,44,Adam
Total_time,30.49838138,44,Adam
1,3.461889982,48,Adam
2,2.883393288,48,Adam
3,2.875751019,48,Adam
4,2.865557909,48,Adam
5,2.860358715,48,Adam
6,2.856544256,48,Adam
7,2.875426292,48,Adam
8,2.865528822,48,Adam
9,2.849826097,48,Adam
10,2.854203701,48,Adam
Total_time,29.34601808,48,Adam
1,3.710103512,52,Adam
2,2.949419022,52,Adam
3,2.948353767,52,Adam
4,2.948331356,52,Adam
5,2.952698469,52,Adam
6,2.945495129,52,Adam
7,2.936480761,52,Adam
8,2.930025101,52,Adam
9,2.926323414,52,Adam
10,2.951011658,52,Adam
Total_time,30.30319071,52,Adam
1,3.771537781,56,Adam
2,2.860091686,56,Adam
3,2.874034166,56,Adam
4,2.862924814,56,Adam
5,2.849956989,56,Adam
6,2.850337029,56,Adam
7,2.846841812,56,Adam
8,2.841223955,56,Adam
9,2.836426973,56,Adam
10,2.847546577,56,Adam
Total_time,29.54123068,56,Adam
1,3.436392307,60,Adam
2,2.794548273,60,Adam
3,2.787135839,60,Adam
4,2.786989927,60,Adam
5,2.797419548,60,Adam
6,2.791749716,60,Adam
7,2.817181826,60,Adam
8,2.780544281,60,Adam
9,2.786281586,60,Adam
10,2.797875881,60,Adam
Total_time,28.67838883,60,Adam
1,3.312297821,64,Adam
2,2.694614887,64,Adam
3,2.694106817,64,Adam
4,2.683995485,64,Adam
5,2.686916828,64,Adam
6,2.685132742,64,Adam
7,2.686125278,64,Adam
8,2.679684162,64,Adam
9,2.677665949,64,Adam
10,2.683119774,64,Adam
Total_time,27.58412433,64,Adam
1,3.446081161,68,Adam
2,2.821249485,68,Adam
3,2.824533939,68,Adam
4,2.81872201,68,Adam
5,2.815266371,68,Adam
6,2.820324898,68,Adam
7,2.815636635,68,Adam
8,2.805965424,68,Adam
9,2.797279358,68,Adam
10,2.818060875,68,Adam
Total_time,28.88384318,68,Adam
1,3.395530701,72,Adam
2,2.757229567,72,Adam
3,2.760810137,72,Adam
4,2.770999908,72,Adam
5,2.782123566,72,Adam
6,2.762072086,72,Adam
7,2.76274538,72,Adam
8,2.748465061,72,Adam
9,2.73484087,72,Adam
10,2.75233078,72,Adam
Total_time,28.32725024,72,Adam
1,3.298496723,76,Adam
2,2.704176664,76,Adam
3,2.732301712,76,Adam
4,2.737233639,76,Adam
5,2.711059332,76,Adam
6,2.701723337,76,Adam
7,2.688003302,76,Adam
8,2.696964741,76,Adam
9,2.692307949,76,Adam
10,2.690960646,76,Adam
Total_time,27.75216436,76,Adam
1,3.27466464,80,Adam
2,2.682700396,80,Adam
3,2.703254938,80,Adam
4,2.674337387,80,Adam
5,2.662306547,80,Adam
6,2.647812128,80,Adam
7,2.637286425,80,Adam
8,2.62746644,80,Adam
9,2.613100052,80,Adam
10,2.633704662,80,Adam
Total_time,27.25903821,80,Adam
1,3.462713003,84,Adam
2,2.773777962,84,Adam
3,2.773216248,84,Adam
4,2.757119656,84,Adam
5,2.746222734,84,Adam
6,2.736077309,84,Adam
7,2.719805002,84,Adam
8,2.709255934,84,Adam
9,2.74266839,84,Adam
10,2.722005367,84,Adam
Total_time,28.24590111,84,Adam
1,3.321894884,88,Adam
2,2.700150251,88,Adam
3,2.748873949,88,Adam
4,2.744499683,88,Adam
5,2.713047743,88,Adam
6,2.709844351,88,Adam
7,2.682705641,88,Adam
8,2.679385424,88,Adam
9,2.696938753,88,Adam
10,2.710006952,88,Adam
Total_time,27.81104517,88,Adam
1,3.349504948,92,Adam
2,2.692084789,92,Adam
3,2.687671185,92,Adam
4,2.685791731,92,Adam
5,2.672106266,92,Adam
6,2.660559416,92,Adam
7,2.639652967,92,Adam
8,2.652204037,92,Adam
9,2.650624514,92,Adam
10,2.661288738,92,Adam
Total_time,27.45245361,92,Adam
1,3.260935545,96,Adam
2,2.603300095,96,Adam
3,2.615561485,96,Adam
4,2.625263214,96,Adam
5,2.671168566,96,Adam
6,2.596486092,96,Adam
7,2.585848331,96,Adam
