epoch_no,time_run,batch_size_per_replica,optimizer
1,5.913394213,4,Adam
2,5.388266087,4,Adam
3,5.385030508,4,Adam
4,5.381414652,4,Adam
5,5.387080669,4,Adam
6,5.38320303,4,Adam
7,5.387167454,4,Adam
8,5.405090809,4,Adam
9,5.38283062,4,Adam
10,5.393778801,4,Adam
Total_time,54.52733946,4,Adam
1,4.582391739,8,Adam
2,4.014530659,8,Adam
3,4.013425589,8,Adam
4,4.019882917,8,Adam
5,4.016584396,8,Adam
6,4.010915518,8,Adam
7,4.01091671,8,Adam
8,4.008821487,8,Adam
9,4.013076067,8,Adam
10,4.008127928,8,Adam
Total_time,40.81145144,8,Adam
1,4.144375324,12,Adam
2,3.550481558,12,Adam
3,3.553723335,12,Adam
4,3.542588949,12,Adam
5,3.539917469,12,Adam
6,3.533155918,12,Adam
7,3.534049034,12,Adam
8,3.539703608,12,Adam
9,3.53784132,12,Adam
10,3.529255629,12,Adam
Total_time,36.13153124,12,Adam
1,3.589334488,16,Adam
2,3.036571026,16,Adam
3,3.022497654,16,Adam
4,3.026877403,16,Adam
5,3.028290272,16,Adam
6,3.026928425,16,Adam
7,3.028743267,16,Adam
8,3.029667139,16,Adam
9,3.028074265,16,Adam
10,3.018586397,16,Adam
Total_time,30.9590323,16,Adam
1,3.784242153,20,Adam
2,3.172398806,20,Adam
3,3.169058561,20,Adam
4,3.167488575,20,Adam
5,3.158565044,20,Adam
6,3.180667639,20,Adam
7,3.165174246,20,Adam
8,3.164838552,20,Adam
9,3.154002428,20,Adam
10,3.163899422,20,Adam
Total_time,32.40856218,20,Adam
1,3.617660999,24,Adam
2,2.990958452,24,Adam
3,2.992169857,24,Adam
4,2.999083281,24,Adam
5,2.993390799,24,Adam
6,2.985473633,24,Adam
7,2.988476515,24,Adam
8,2.995535612,24,Adam
9,2.994911671,24,Adam
10,2.981798649,24,Adam
Total_time,30.66860604,24,Adam
1,3.407552958,28,Adam
2,2.79418993,28,Adam
3,2.789759398,28,Adam
4,2.805219889,28,Adam
5,2.791296721,28,Adam
6,2.779374123,28,Adam
7,2.783398151,28,Adam
8,2.777233362,28,Adam
9,2.776581287,28,Adam
10,2.768801212,28,Adam
Total_time,28.89255142,28,Adam
1,3.2150805,32,Adam
2,2.619954586,32,Adam
3,2.61756587,32,Adam
4,2.626204252,32,Adam
5,2.628791094,32,Adam
6,2.609175444,32,Adam
7,2.613585234,32,Adam
8,2.615733862,32,Adam
9,2.608288765,32,Adam
10,2.601269007,32,Adam
Total_time,26.7935648,32,Adam
1,3.529622793,36,Adam
2,2.846292734,36,Adam
3,2.844127417,36,Adam
4,2.841445208,36,Adam
5,2.848967552,36,Adam
6,2.843950987,36,Adam
7,2.840637922,36,Adam
8,2.834435463,36,Adam
9,2.824144363,36,Adam
10,2.830724478,36,Adam
Total_time,29.19454074,36,Adam
1,3.388164282,40,Adam
2,2.732471228,40,Adam
3,2.724571466,40,Adam
4,2.718478441,40,Adam
5,2.737313509,40,Adam
6,2.727493763,40,Adam
7,2.71830678,40,Adam
8,2.713935137,40,Adam
9,2.705771923,40,Adam
10,2.708613396,40,Adam
Total_time,27.98857713,40,Adam
1,3.287906408,44,Adam
2,2.637838602,44,Adam
3,2.640815973,44,Adam
4,2.630084753,44,Adam
5,2.636014938,44,Adam
6,2.618985653,44,Adam
7,2.620980501,44,Adam
8,2.624630213,44,Adam
9,2.612590075,44,Adam
10,2.613826275,44,Adam
Total_time,27.04462457,44,Adam
1,3.238090277,48,Adam
2,2.574966669,48,Adam
3,2.576982498,48,Adam
