epoch_no,time_run,batch_size_per_replica,optimizer
1,10.721881628036499,4,Adam
2,8.26384949684143,4,Adam
3,8.242499589920044,4,Adam
4,8.253424882888794,4,Adam
5,8.239948034286499,4,Adam
6,8.224112033843994,4,Adam
7,8.240556240081787,4,Adam
8,8.23146677017212,4,Adam
9,8.258811712265015,4,Adam
10,8.236752033233643,4,Adam
Total_time,85.0190646648407,4,Adam
1,6.605828523635864,8,Adam
2,5.51567006111145,8,Adam
3,5.498685836791992,8,Adam
4,5.498047828674316,8,Adam
5,5.493500471115112,8,Adam
6,5.498504638671875,8,Adam
7,5.504387140274048,8,Adam
8,5.528125524520874,8,Adam
9,5.545074701309204,8,Adam
10,5.492840766906738,8,Adam
Total_time,56.28094029426575,8,Adam
1,5.751762628555298,12,Adam
2,4.544024705886841,12,Adam
3,4.553273916244507,12,Adam
4,4.550909757614136,12,Adam
5,4.555346727371216,12,Adam
6,4.581584453582764,12,Adam
7,4.565308094024658,12,Adam
8,4.582843780517578,12,Adam
9,4.556308031082153,12,Adam
10,4.556498289108276,12,Adam
Total_time,46.89669704437256,12,Adam
1,5.010273456573486,16,Adam
2,3.8190572261810303,16,Adam
3,3.820239782333374,16,Adam
4,3.836782932281494,16,Adam
5,3.8211963176727295,16,Adam
6,3.830949544906616,16,Adam
7,3.84673810005188,16,Adam
8,3.8348946571350098,16,Adam
9,3.8164138793945312,16,Adam
10,3.82087779045105,16,Adam
Total_time,39.551839113235474,16,Adam
1,5.149795055389404,20,Adam
2,3.7843000888824463,20,Adam
3,3.7844090461730957,20,Adam
4,3.7852184772491455,20,Adam
5,3.7853810787200928,20,Adam
6,3.8079216480255127,20,Adam
7,3.8134870529174805,20,Adam
8,3.77825927734375,20,Adam
9,3.7805850505828857,20,Adam
10,3.7742388248443604,20,Adam
Total_time,39.34437417984009,20,Adam
1,4.943679571151733,24,Adam
2,3.52276611328125,24,Adam
3,3.5192840099334717,24,Adam
4,3.5378875732421875,24,Adam
5,3.514108180999756,24,Adam
6,3.5040998458862305,24,Adam
7,3.513457775115967,24,Adam
8,3.5123157501220703,24,Adam
9,3.5200576782226562,24,Adam
10,3.5137152671813965,24,Adam
Total_time,36.70169281959534,24,Adam
1,4.762933254241943,28,Adam
2,3.2482106685638428,28,Adam
3,3.2385406494140625,28,Adam
4,3.2367923259735107,28,Adam
5,3.2323930263519287,28,Adam
6,3.233509063720703,28,Adam
7,3.2338123321533203,28,Adam
8,3.239800214767456,28,Adam
9,3.2336161136627197,28,Adam
10,3.243668556213379,28,Adam
Total_time,34.002240896224976,28,Adam
1,4.587547302246094,32,Adam
2,3.0499327182769775,32,Adam
3,3.031193256378174,32,Adam
4,3.0266811847686768,32,Adam
5,3.028961181640625,32,Adam
6,3.0259838104248047,32,Adam
7,3.0218005180358887,32,Adam
8,3.0205817222595215,32,Adam
9,3.0159878730773926,32,Adam
10,3.0218515396118164,32,Adam
Total_time,31.92939329147339,32,Adam
1,5.200530529022217,36,Adam
2,3.293067693710327,36,Adam
3,3.2225732803344727,36,Adam
4,3.213369846343994,36,Adam
5,3.230835199356079,36,Adam
6,3.2183735370635986,36,Adam
7,3.2118008136749268,36,Adam
8,3.2071335315704346,36,Adam
9,3.195369005203247,36,Adam
10,3.204418420791626,36,Adam
Total_time,34.298298358917236,36,Adam
1,4.894912004470825,40,Adam
2,3.111795663833618,40,Adam
3,3.077104091644287,40,Adam
4,3.0638210773468018,40,Adam
5,3.0494470596313477,40,Adam
6,3.0556576251983643,40,Adam
7,3.059998035430908,40,Adam
8,3.0520589351654053,40,Adam
9,3.0408437252044678,40,Adam
10,3.0557613372802734,40,Adam
Total_time,32.56242108345032,40,Adam
1,4.868495941162109,44,Adam
2,2.996321201324463,44,Adam
3,2.988105297088623,44,Adam
4,2.9740304946899414,44,Adam
5,2.9706926345825195,44,Adam
6,2.9726133346557617,44,Adam
7,2.970306634902954,44,Adam
8,2.977001905441284,44,Adam
